ID,Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Status_Code,Groups_With_Access_Code,Geocode_Status,Latitude,Longitude,Country,Groups_With_Access_Code_French,Access_Code
123146,ELEC,The Gunlocke Co,1 Gunloccke Dr,Wayland,NY,14572,E,Public,GPS,42.5553841,-77.5891292,US,Public,public
123192,ELEC,Gallin Beeler Design Studio,23 Washington Ave,Pleasantville,NY,10570,E,Public,GPS,41.135753,-73.7914967,US,Public,public
123258,ELEC,Robert Moses State Park,1 Burma Rd,Bay Shore,NY,11706,E,Public,GPS,40.628685,-73.2329534,US,Public,public
123259,ELEC,One Seneca Tower,1 HSBC Center,Buffalo,NY,14202,E,Public,GPS,42.8799392,-78.8762193,US,Public,public
123260,ELEC,Letchworth State Park,1 Letchworth State Park,Castile,NY,14427,E,Public,GPS,42.590383,-78.026753,US,Public,public
123261,ELEC,Lake Riley Lodge,100 Norris Dr,Rochester,NY,14610,E,Public,GPS,43.1414100999999,-77.5749321999999,US,Public,public
123262,ELEC,Westchester Medical Center,100 Woods Rd,Valhalla,NY,10595,E,Public,GPS,41.086676,-73.8060649,US,Public,public
123263,ELEC,Molloy College,1000 Hempstead Ave,Rockville Centre,NY,11571,E,Public,GPS,40.6861460999999,-73.6249835,US,Public,public
123264,ELEC,Jones Beach Theater,1000 Ocean Pkwy,Wantaugh,NY,11793,E,Public,GPS,40.6011406,-73.502518,US,Public,public
123265,ELEC,Metro North Train Station - North White Plains,50 Haarlem Ave,White Plains,NY,10603,E,Public,GPS,41.0534449,-73.7724041,US,Public,public
123301,ELEC,University at Albany - Building 25 Parking Lot,1400 Washington Ave,Albany,NY,12222,E,Public,GPS,42.688926,-73.828718,US,Public,public
123302,ELEC,University at Albany - SEFCU Arena Parking Lot,1400 Washington Ave,Albany,NY,12222,E,Public,GPS,42.682053,-73.828373,US,Public,public
123303,ELEC,University at Albany - Indigenous Quad Parking Area,1400 Washington Ave,Albany,NY,12222,E,Public,GPS,42.683683,-73.821903,US,Public,public
123310,ELEC,Verizon - Albany,1161 Washington Ave,Albany,NY,12206,E,Private,200-9,42.68188,-73.803069,US,Privé,private
123328,ELEC,Verizon - Bronx,2885 Jerome Ave,Bronx,NY,10468,E,Private,200-9,40.872524,-73.890564,US,Privé,private
123335,ELEC,Verizon - Syracuse,4725 S Salina St,Syracuse,NY,13205,E,Private,200-9,43.001303,-76.142027,US,Privé,private
123345,ELEC,Verizon - Manhattan,615 W 47th St,Manhattan,NY,10036,E,Private,200-8,40.764495,-73.996651,US,Privé,private
123346,ELEC,Verizon - Syracuse,6360 Thompson Rd,Syracuse,NY,13206,E,Private,GPS,43.078242,-76.088462,US,Privé,private
123355,ELEC,Verizon - Garden City,741 Zeckendorf Blvd,Garden City,NY,11530,E,Private,200-9,40.7411,-73.604842,US,Privé,private
123389,ELEC,ULSTER COUNTY SUNY ULSTER,491 Cottekill Rd,Stone Ridge,NY,12484,E,Public,GPS,41.851332,-74.130956,US,Public,public
123391,ELEC,NYS ORDA GORE MOUNTAIN,793 Peaceful Valley Rd,North Creek,NY,12853,E,Public,GPS,43.671232,-74.007635,US,Public,public
123392,ELEC,SUNY NEW PALTZ STATION 2,Service building,New Paltz,NY,12561,E,Public,GPS,41.736732,-74.084307,US,Public,public
123393,ELEC,INNATHOUGHTONCR HOUGHTON CREEK,9722 Co Rd 35,Houghton,NY,14744,E,Public,GPS,42.423464,-78.158123,US,Public,public
123416,ELEC,TRICITYRENTALS PARK SOUTH,17 New Scotland Av,Albany,NY,12208,E,Public,GPS,42.654458,-73.773464,US,Public,public
